source_id,ra,dec,teff_gspphot,phot_g_mean_mag,bp_rp
2851858288640,45.132144414036745,0.1378535532444834,5819.5605,12.356248,0.81036854
4230543624320,45.06347956342319,0.1956514390070961,5646.016,15.7034445,0.8950043
7834020517760,44.97616452166706,0.21727979968624359,5266.5435,17.175085,0.9287281
8727373730048,44.99035285242049,0.2832005860531234,3995.1091,18.01602,1.5993233
8766029055104,44.995945313391665,0.287857894817287,5644.352,14.691891,0.8967867
11510512362368,45.25564613280313,0.29032307912696464,3176.7964,17.598793,3.1187668
23300197765248,44.70822577833431,0.29959791419118204,3081.4863,18.547283,2.6934147
23467701379328,44.666210239323846,0.3021077589908716,5401.5444,18.923857,0.8860874
25048249473536,44.85584087053461,0.37231813984607076,3499.284,18.79371,1.8709736
30683246603520,45.10131281559561,0.4992306693306819,3657.9573,18.046072,2.3426933
32611687478272,44.94331822049362,0.48713106060047073,5115.716,16.11808,1.0601835
40544491500416,45.30232005294132,0.45925866142985594,3466.0017,18.445848,2.0788937
41098542885760,45.22232476551241,0.4556608416448471,4438.8716,16.464996,1.637373
45629732576640,45.5323992485553,0.5275225334884508,3475.7651,17.503365,2.591631
49684181947392,45.40416593409113,0.5978017174879271,5264.4014,17.543238,0.9265518
50719269615744,45.544456096662906,0.6248577636060625,3786.2925,16.676012,2.1939125
51406464382080,45.54140381787135,0.664209999579143,5321.0103,17.436869,0.9224129
53777286341504,45.22634438150688,0.5430271416865114,5357.4883,16.408194,0.9178076
69410967253632,45.33365180640389,0.8065718615590686,4165.216,16.937292,1.9491339
70059506681856,45.372457252949495,0.8683591276555832,4783.276,15.715656,1.2058477
70819716552064,44.65650201236886,0.354519677881783,3557.025,17.32587,2.4132156
73602855354240,44.769203923504286,0.46075759831627583,5423.059,16.514881,0.8739424
79267916645120,44.82923367277251,0.47133890231165704,5105.876,17.749372,0.9847641
88029649787136,44.46124228854272,0.46169476186,3578.0178,17.80616,1.9133682
88648125082112,44.541768811711606,0.5150372066775013,3421.0217,18.280508,2.761591
88819923774720,44.504897536894575,0.5276589204347948,3379.7173,17.995514,2.0802498
96825742994048,44.63999791910123,0.6130486206823006,3994.381,18.337536,1.6181393
97066261169664,44.64334292682431,0.6319635926419271,3272.8328,18.565092,2.704382
103903849163648,44.68894057072559,0.7951789837789642,4115.382,17.797836,1.5080414
104423540835200,44.69229765615677,0.8500155752063633,5517.3945,13.630211,0.85709953
104453604977152,44.60932372249623,0.7947316035466527,3252.2659,18.966152,2.397131
106072808102912,45.00318595250084,0.6580280113794315,6260.866,15.967099,0.84647655
109955458539264,44.91119913150871,0.6888035439855432,4957.4614,16.710203,1.069706
110642653493632,44.97799919853284,0.7327402731395248,5144.3037,18.872017,0.92146873
111600430543872,44.906813693752035,0.7553259824670963,3377.9531,18.17585,2.6013336
114143051218304,44.965676069498606,0.8503396153276738,4341.192,17.242058,1.3832588
115036404600448,45.239085969393926,0.808044951023683,3103.9673,18.64139,3.5720234
125005023911808,44.83378459895146,0.8549846255366939,5246.4414,14.926082,1.1898489
125692218678784,44.872675486008205,0.8593243612256116,5577.915,14.368091,0.9538641
126787434948224,44.83662677678465,0.8942250241155574,4448.1216,18.373596,1.3731651
126890514357504,44.881488278775066,0.9175411737375674,3096.4226,18.94464,2.9006824
127818227089664,44.71565450880196,0.8535982324765086,5949.959,18.803669,0.71702385
130193344404096,44.83607541127354,0.9525287003721735,3627.2358,15.039726,2.309699
132667245587072,45.0727955724553,0.969970782487376,4929.733,7.4750457,1.2528615
132804684542464,45.02965404931848,0.9720319690376104,5513.9424,16.821642,0.8380089
139019501853184,44.983492842504866,1.0994092447339685,4759.5728,17.56734,1.1390419
146475564682496,45.593749907327854,0.7534015897506826,3447.9915,17.491417,2.3250027
146686018695424,45.58427472496946,0.7704183536925205,3313.5369,18.792917,2.2553844
147751170581376,45.69864705561097,0.7966390915142691,5313.9487,15.047944,1.017601
149572236736384,45.8843962805482,0.7664977010814793,5427.259,14.663007,0.9499302
154721901916928,45.85286483552229,0.9005191027163698,3664.4695,16.65919,2.2737694
154859340871168,45.81161993572893,0.9032834651368719,5165.2983,18.471556,0.9753723
161903087475072,45.54380773476041,0.889376509407131,3241.142,18.753048,2.539648
168573172029312,45.622836291215506,0.9683383348084807,4381.002,16.881062,1.4342098
173619758246528,45.62732499654128,1.0991225793993864,5112.389,13.140966,1.0721674
177884661147264,46.04284391223799,1.0090189960581437,5585.557,17.277225,0.83439445
